지하철역ID,지하철역명,환승전호선ID,환승전호선명,환승후호선ID,환승후호선명,차량번호,출입문위치,환승위치
﻿1006000645,﻿태릉입구,﻿1006,﻿6호선,﻿1007,﻿7호선,﻿8,﻿4,﻿8-﻿4
﻿1003000342,﻿양재,﻿1003,﻿3호선,﻿1077,﻿신분당선,﻿5,﻿4,﻿5-﻿4
﻿1003000342,﻿양재,﻿1003,﻿3호선,﻿1077,﻿신분당선,﻿6,﻿1,﻿6-﻿1
﻿1003000344,﻿도곡,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿5,﻿4,﻿5-﻿4
﻿1003000344,﻿도곡,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿6,﻿3,﻿6-﻿3
﻿1003000349,﻿수서,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿8,﻿4,﻿8-﻿4
﻿1003000349,﻿수서,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿3,﻿1,﻿3-﻿1
﻿1003000350,﻿가락시장,﻿1003,﻿3호선,﻿1008,﻿8호선,﻿2,﻿1,﻿2-﻿1
﻿1003000350,﻿가락시장,﻿1003,﻿3호선,﻿1008,﻿8호선,﻿9,﻿4,﻿9-﻿4
﻿1003000352,﻿오금,﻿1003,﻿3호선,﻿1005,﻿5호선,﻿9,﻿4,﻿9-﻿4
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿10,﻿0,﻿10-﻿0
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿1,﻿0,﻿1-﻿0
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿10,﻿4,﻿10-﻿4
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿1,﻿1,﻿1-﻿1
﻿1004000412,﻿창동,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿3,﻿4,﻿3-﻿4
﻿1004000412,﻿창동,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿8,﻿1,﻿8-﻿1
﻿1004000421,﻿동대문,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿6,﻿1,﻿6-﻿1
﻿1004000421,﻿동대문,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿5,﻿3,﻿5-﻿3
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1005,﻿5호선,﻿2,﻿3,﻿2-﻿3
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1005,﻿5호선,﻿9,﻿1,﻿9-﻿1
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿10,﻿4,﻿10-﻿4
﻿1004000423,﻿충무로,﻿1004,﻿4호선,﻿1003,﻿3호선,﻿7,﻿1,﻿7-﻿1
﻿1004000423,﻿충무로,﻿1004,﻿4호선,﻿1003,﻿3호선,﻿5,﻿1,﻿5-﻿1
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿1,﻿1,﻿1-﻿1
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿10,﻿4,﻿10-﻿4
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿1,﻿1,﻿1-﻿1
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿10,﻿4,﻿10-﻿4
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1065,﻿공항철도,﻿10,﻿4,﻿10-﻿4
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1065,﻿공항철도,﻿1,﻿1,﻿1-﻿1
﻿1004000428,﻿삼각지,﻿1004,﻿4호선,﻿1006,﻿6호선,﻿10,﻿4,﻿10-﻿4
﻿1004000428,﻿삼각지,﻿1004,﻿4호선,﻿1006,﻿6호선,﻿1,﻿1,﻿1-﻿1
﻿1004000430,﻿이촌,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿4,﻿2,﻿4-﻿2
﻿1004000430,﻿이촌,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿7,﻿2,﻿7-﻿2
﻿1004000431,﻿동작,﻿1004,﻿4호선,﻿1009,﻿9호선,﻿8,﻿4,﻿8-﻿4
﻿1004000431,﻿동작,﻿1004,﻿4호선,﻿1009,﻿9호선,﻿2,﻿4,﻿2-﻿4
﻿1004000432,﻿총신대입구(이수),﻿1004,﻿4호선,﻿1007,﻿7호선,﻿10,﻿4,﻿10-﻿4
﻿1004000432,﻿총신대입구(이수),﻿1004,﻿4호선,﻿1007,﻿7호선,﻿1,﻿1,﻿1-﻿1
﻿1004000433,﻿사당,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1004000433,﻿사당,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿4,﻿2,﻿4-﻿2
﻿1004000433,﻿사당,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿10,﻿4,﻿10-﻿4
﻿1004000433,﻿사당,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿7,﻿3,﻿7-﻿3
﻿1004000443,﻿금정,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿0,﻿0,﻿0-﻿0
﻿1004000443,﻿금정,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿7,﻿0,﻿7-﻿0
﻿1004000443,﻿금정,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿2,﻿0,﻿2-﻿0
﻿1004000456,﻿오이도,﻿1004,﻿4호선,﻿1071,﻿수인선,﻿8,﻿4,﻿8-﻿4
﻿1004000456,﻿오이도,﻿1004,﻿4호선,﻿1071,﻿수인선,﻿4,﻿4,﻿4-﻿4
﻿1005000512,﻿김포공항,﻿1005,﻿5호선,﻿1009,﻿9호선,﻿7,﻿2,﻿7-﻿2
﻿1005000512,﻿김포공항,﻿1005,﻿5호선,﻿1009,﻿9호선,﻿2,﻿1,﻿2-﻿1
﻿1005000512,﻿김포공항,﻿1005,﻿5호선,﻿1065,﻿공항철도,﻿7,﻿2,﻿7-﻿2
﻿1005000512,﻿김포공항,﻿1005,﻿5호선,﻿1065,﻿공항철도,﻿2,﻿1,﻿2-﻿1
﻿1005000518,﻿까치산,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1005000518,﻿까치산,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿7,﻿4,﻿7-﻿4
﻿1005000523,﻿영등포구청,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿2,﻿3,﻿2-﻿3
﻿1005000523,﻿영등포구청,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿7,﻿2,﻿7-﻿2
﻿1005000525,﻿신길,﻿1005,﻿5호선,﻿1001,﻿1호선,﻿7,﻿3,﻿7-﻿3
﻿1005000525,﻿신길,﻿1005,﻿5호선,﻿1001,﻿1호선,﻿2,﻿1,﻿2-﻿1
﻿1005000526,﻿여의도,﻿1005,﻿5호선,﻿1009,﻿9호선,﻿4,﻿1,﻿4-﻿1
﻿1005000526,﻿여의도,﻿1005,﻿5호선,﻿1009,﻿9호선,﻿5,﻿4,﻿5-﻿4
﻿1005000529,﻿공덕,﻿1005,﻿5호선,﻿1006,﻿6호선,﻿1,﻿1,﻿1-﻿1
﻿1005000529,﻿공덕,﻿1005,﻿5호선,﻿1006,﻿6호선,﻿8,﻿4,﻿8-﻿4
﻿1005000529,﻿공덕,﻿1005,﻿5호선,﻿1065,﻿공항철도,﻿1,﻿1,﻿1-﻿1
﻿1005000529,﻿공덕,﻿1005,﻿5호선,﻿1065,﻿공항철도,﻿8,﻿4,﻿8-﻿4
﻿1005000529,﻿공덕,﻿1005,﻿5호선,﻿1063,﻿경의중앙선,﻿8,﻿4,﻿8-﻿4
﻿1005000529,﻿공덕,﻿1005,﻿5호선,﻿1063,﻿경의중앙선,﻿1,﻿1,﻿1-﻿1
﻿1005000531,﻿충정로,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿4,﻿1,﻿4-﻿1
﻿1005000531,﻿충정로,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿5,﻿3,﻿5-﻿3
﻿1002000212,﻿건대입구,﻿1002,﻿2호선,﻿1007,﻿7호선,﻿8,﻿3,﻿8-﻿3
﻿1002000212,﻿건대입구,﻿1002,﻿2호선,﻿1007,﻿7호선,﻿3,﻿2,﻿3-﻿2
﻿1002000216,﻿잠실,﻿1002,﻿2호선,﻿1008,﻿8호선,﻿10,﻿4,﻿10-﻿4
﻿1002000216,﻿잠실,﻿1002,﻿2호선,﻿1008,﻿8호선,﻿1,﻿1,﻿1-﻿1
﻿1002000220,﻿선릉,﻿1002,﻿2호선,﻿1075,﻿수인분당선,﻿6,﻿2,﻿6-﻿2
﻿1002000220,﻿선릉,﻿1002,﻿2호선,﻿1075,﻿수인분당선,﻿5,﻿2,﻿5-﻿2
﻿1002000220,﻿선릉,﻿1002,﻿2호선,﻿1075,﻿수인분당선,﻿6,﻿3,﻿6-﻿3
﻿1002000222,﻿강남,﻿1002,﻿2호선,﻿1077,﻿신분당선,﻿6,﻿3,﻿6-﻿3
﻿1002000222,﻿강남,﻿1002,﻿2호선,﻿1077,﻿신분당선,﻿5,﻿2,﻿5-﻿2
﻿1002000223,﻿교대,﻿1002,﻿2호선,﻿1003,﻿3호선,﻿1,﻿1,﻿1-﻿1
﻿1002000223,﻿교대,﻿1002,﻿2호선,﻿1003,﻿3호선,﻿10,﻿4,﻿10-﻿4
﻿1002000226,﻿사당,﻿1002,﻿2호선,﻿1004,﻿4호선,﻿6,﻿1,﻿6-﻿1
﻿1002000226,﻿사당,﻿1002,﻿2호선,﻿1004,﻿4호선,﻿5,﻿3,﻿5-﻿3
﻿1002000233,﻿대림,﻿1002,﻿2호선,﻿1007,﻿7호선,﻿7,﻿4,﻿7-﻿4
﻿1002000233,﻿대림,﻿1002,﻿2호선,﻿1007,﻿7호선,﻿4,﻿1,﻿4-﻿1
﻿1002000234,﻿신도림,﻿1002,﻿2호선,﻿1001,﻿1호선,﻿4,﻿1,﻿4-﻿1
﻿1002000234,﻿신도림,﻿1002,﻿2호선,﻿1002,﻿2호선,﻿4,﻿1,﻿4-﻿1
﻿1002000234,﻿신도림,﻿1002,﻿2호선,﻿1001,﻿1호선,﻿2,﻿3,﻿2-﻿3
﻿1002000234,﻿신도림,﻿1002,﻿2호선,﻿1002,﻿2호선,﻿2,﻿3,﻿2-﻿3
﻿1002000234,﻿신도림,﻿1002,﻿2호선,﻿1002,﻿2호선,﻿6,﻿2,﻿6-﻿2
﻿1002000234,﻿신도림,﻿1002,﻿2호선,﻿1002,﻿2호선,﻿5,﻿3,﻿5-﻿3
﻿1002000234,﻿신도림,﻿1002,﻿2호선,﻿1001,﻿1호선,﻿7,﻿3,﻿7-﻿3
﻿1002000236,﻿영등포구청,﻿1002,﻿2호선,﻿1005,﻿5호선,﻿7,﻿4,﻿7-﻿4
﻿1002000236,﻿영등포구청,﻿1002,﻿2호선,﻿1005,﻿5호선,﻿2,﻿3,﻿2-﻿3
﻿1002000237,﻿당산,﻿1002,﻿2호선,﻿1009,﻿9호선,﻿3,﻿4,﻿3-﻿4
﻿1002000237,﻿당산,﻿1002,﻿2호선,﻿1009,﻿9호선,﻿7,﻿1,﻿7-﻿1
﻿1002000238,﻿합정,﻿1002,﻿2호선,﻿1006,﻿6호선,﻿9,﻿2,﻿9-﻿2
﻿1002000238,﻿합정,﻿1002,﻿2호선,﻿1006,﻿6호선,﻿2,﻿2,﻿2-﻿2
﻿1002000239,﻿홍대입구,﻿1002,﻿2호선,﻿1065,﻿공항철도,﻿3,﻿3,﻿3-﻿3
﻿1002000239,﻿홍대입구,﻿1002,﻿2호선,﻿1063,﻿경의중앙선,﻿3,﻿3,﻿3-﻿3
﻿1002000239,﻿홍대입구,﻿1002,﻿2호선,﻿1065,﻿공항철도,﻿8,﻿2,﻿8-﻿2
﻿1002000239,﻿홍대입구,﻿1002,﻿2호선,﻿1063,﻿경의중앙선,﻿8,﻿2,﻿8-﻿2
﻿1002000243,﻿충정로,﻿1002,﻿2호선,﻿1005,﻿5호선,﻿7,﻿3,﻿7-﻿3
﻿1002000243,﻿충정로,﻿1002,﻿2호선,﻿1005,﻿5호선,﻿4,﻿2,﻿4-﻿2
﻿1002002114,﻿신설동,﻿1002,﻿2호선,﻿1001,﻿1호선,﻿1,﻿1,﻿1-﻿1
﻿1002002344,﻿까치산,﻿1002,﻿2호선,﻿1005,﻿5호선,﻿1,﻿1,﻿1-﻿1
﻿1003000315,﻿대곡,﻿1003,﻿3호선,﻿1063,﻿경의중앙선,﻿7,﻿4,﻿7-﻿4
﻿1003000321,﻿연신내,﻿1003,﻿3호선,﻿1006,﻿6호선,﻿6,﻿3,﻿6-﻿3
﻿1003000321,﻿연신내,﻿1003,﻿3호선,﻿1006,﻿6호선,﻿5,﻿1,﻿5-﻿1
﻿1003000322,﻿불광,﻿1003,﻿3호선,﻿1006,﻿6호선,﻿10,﻿4,﻿10-﻿4
﻿1003000322,﻿불광,﻿1003,﻿3호선,﻿1006,﻿6호선,﻿1,﻿1,﻿1-﻿1
﻿1003000329,﻿종로3가,﻿1003,﻿3호선,﻿1005,﻿5호선,﻿9,﻿2,﻿9-﻿2
﻿1003000329,﻿종로3가,﻿1003,﻿3호선,﻿1001,﻿1호선,﻿9,﻿1,﻿9-﻿1
﻿1003000329,﻿종로3가,﻿1003,﻿3호선,﻿1001,﻿1호선,﻿10,﻿4,﻿10-﻿4
﻿1003000329,﻿종로3가,﻿1003,﻿3호선,﻿1005,﻿5호선,﻿2,﻿3,﻿2-﻿3
﻿1003000329,﻿종로3가,﻿1003,﻿3호선,﻿1001,﻿1호선,﻿2,﻿3,﻿2-﻿3
﻿1003000329,﻿종로3가,﻿1003,﻿3호선,﻿1001,﻿1호선,﻿1,﻿1,﻿1-﻿1
﻿1003000330,﻿을지로3가,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿4,﻿4,﻿4-﻿4
﻿1003000330,﻿을지로3가,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿7,﻿1,﻿7-﻿1
﻿1003000330,﻿을지로3가,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿4,﻿2,﻿4-﻿2
﻿1003000330,﻿을지로3가,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿7,﻿2,﻿7-﻿2
﻿1003000331,﻿충무로,﻿1003,﻿3호선,﻿1004,﻿4호선,﻿8,﻿1,﻿8-﻿1
﻿1003000331,﻿충무로,﻿1003,﻿3호선,﻿1004,﻿4호선,﻿8,﻿4,﻿8-﻿4
﻿1003000331,﻿충무로,﻿1003,﻿3호선,﻿1004,﻿4호선,﻿4,﻿4,﻿4-﻿4
﻿1003000331,﻿충무로,﻿1003,﻿3호선,﻿1004,﻿4호선,﻿3,﻿3,﻿3-﻿3
﻿1003000333,﻿약수,﻿1003,﻿3호선,﻿1006,﻿6호선,﻿4,﻿3,﻿4-﻿3
﻿1003000333,﻿약수,﻿1003,﻿3호선,﻿1006,﻿6호선,﻿7,﻿1,﻿7-﻿1
﻿1003000335,﻿옥수,﻿1003,﻿3호선,﻿1063,﻿경의중앙선,﻿9,﻿4,﻿9-﻿4
﻿1003000335,﻿옥수,﻿1003,﻿3호선,﻿1063,﻿경의중앙선,﻿1,﻿4,﻿1-﻿4
﻿1003000339,﻿고속터미널,﻿1003,﻿3호선,﻿1007,﻿7호선,﻿2,﻿3,﻿2-﻿3
﻿1003000339,﻿고속터미널,﻿1003,﻿3호선,﻿1007,﻿7호선,﻿9,﻿2,﻿9-﻿2
﻿1003000339,﻿고속터미널,﻿1003,﻿3호선,﻿1009,﻿9호선,﻿2,﻿3,﻿2-﻿3
﻿1003000339,﻿고속터미널,﻿1003,﻿3호선,﻿1009,﻿9호선,﻿9,﻿2,﻿9-﻿2
﻿1003000340,﻿교대,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿9,﻿3,﻿9-﻿3
﻿1003000340,﻿교대,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿8,﻿4,﻿8-﻿4
﻿1003000340,﻿교대,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿2,﻿1,﻿2-﻿1
﻿1003000340,﻿교대,﻿1003,﻿3호선,﻿1002,﻿2호선,﻿3,﻿2,﻿3-﻿2
﻿1005000534,﻿종로3가,﻿1005,﻿5호선,﻿1001,﻿1호선,﻿1,﻿1,﻿1-﻿1
﻿1005000534,﻿종로3가,﻿1005,﻿5호선,﻿1003,﻿3호선,﻿1,﻿1,﻿1-﻿1
﻿1005000534,﻿종로3가,﻿1005,﻿5호선,﻿1001,﻿1호선,﻿8,﻿4,﻿8-﻿4
﻿1005000534,﻿종로3가,﻿1005,﻿5호선,﻿1003,﻿3호선,﻿8,﻿4,﻿8-﻿4
﻿1005000535,﻿을지로4가,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿8,﻿1,﻿8-﻿1
﻿1005000535,﻿을지로4가,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿8,﻿4,﻿8-﻿4
﻿1005000535,﻿을지로4가,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1005000535,﻿을지로4가,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿1,﻿4,﻿1-﻿4
﻿1005000536,﻿동대문역사문화공원,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1005000536,﻿동대문역사문화공원,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿8,﻿4,﻿8-﻿4
﻿1005000536,﻿동대문역사문화공원,﻿1005,﻿5호선,﻿1004,﻿4호선,﻿1,﻿1,﻿1-﻿1
﻿1005000536,﻿동대문역사문화공원,﻿1005,﻿5호선,﻿1004,﻿4호선,﻿8,﻿4,﻿8-﻿4
﻿1005000537,﻿청구,﻿1005,﻿5호선,﻿1006,﻿6호선,﻿5,﻿1,﻿5-﻿1
﻿1005000537,﻿청구,﻿1005,﻿5호선,﻿1006,﻿6호선,﻿6,﻿4,﻿6-﻿4
﻿1005000540,﻿왕십리,﻿1005,﻿5호선,﻿1063,﻿경의중앙선,﻿2,﻿3,﻿2-﻿3
﻿1005000540,﻿왕십리,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿2,﻿3,﻿2-﻿3
﻿1005000540,﻿왕십리,﻿1005,﻿5호선,﻿1063,﻿경의중앙선,﻿7,﻿2,﻿7-﻿2
﻿1005000540,﻿왕십리,﻿1005,﻿5호선,﻿1002,﻿2호선,﻿7,﻿2,﻿7-﻿2
﻿1005000540,﻿왕십리,﻿1005,﻿5호선,﻿1075,﻿수인분당선,﻿2,﻿3,﻿2-﻿3
﻿1005000540,﻿왕십리,﻿1005,﻿5호선,﻿1075,﻿수인분당선,﻿7,﻿2,﻿7-﻿2
﻿1005000544,﻿군자,﻿1005,﻿5호선,﻿1007,﻿7호선,﻿1,﻿1,﻿1-﻿1
﻿1005000544,﻿군자,﻿1005,﻿5호선,﻿1007,﻿7호선,﻿8,﻿4,﻿8-﻿4
﻿1005000547,﻿천호,﻿1005,﻿5호선,﻿1008,﻿8호선,﻿8,﻿2,﻿8-﻿2
﻿1005000547,﻿천호,﻿1005,﻿5호선,﻿1008,﻿8호선,﻿8,﻿1,﻿8-﻿1
﻿1005000547,﻿천호,﻿1005,﻿5호선,﻿1008,﻿8호선,﻿1,﻿2,﻿1-﻿2
﻿1005000547,﻿천호,﻿1005,﻿5호선,﻿1008,﻿8호선,﻿1,﻿3,﻿1-﻿3
﻿1005000548,﻿강동,﻿1005,﻿5호선,﻿1005,﻿5호선,﻿8,﻿4,﻿8-﻿4
﻿1005000548,﻿강동,﻿1005,﻿5호선,﻿1005,﻿5호선,﻿1,﻿1,﻿1-﻿1
﻿1005080552,﻿오금,﻿1005,﻿5호선,﻿1003,﻿3호선,﻿1,﻿3,﻿1-﻿3
﻿1005080552,﻿오금,﻿1005,﻿5호선,﻿1003,﻿3호선,﻿8,﻿2,﻿8-﻿2
﻿1006000612,﻿불광,﻿1006,﻿6호선,﻿1003,﻿3호선,﻿7,﻿2,﻿7-﻿2
﻿1006000614,﻿연신내,﻿1006,﻿6호선,﻿1003,﻿3호선,﻿6,﻿2,﻿6-﻿2
﻿1006000618,﻿디지털미디어시티,﻿1006,﻿6호선,﻿1063,﻿경의중앙선,﻿2,﻿2,﻿2-﻿2
﻿1006000618,﻿디지털미디어시티,﻿1006,﻿6호선,﻿1063,﻿경의중앙선,﻿7,﻿2,﻿7-﻿2
﻿1006000618,﻿디지털미디어시티,﻿1006,﻿6호선,﻿1065,﻿공항철도,﻿8,﻿4,﻿8-﻿4
﻿1006000618,﻿디지털미디어시티,﻿1006,﻿6호선,﻿1065,﻿공항철도,﻿1,﻿1,﻿1-﻿1
﻿1006000622,﻿합정,﻿1006,﻿6호선,﻿1002,﻿2호선,﻿6,﻿2,﻿6-﻿2
﻿1006000622,﻿합정,﻿1006,﻿6호선,﻿1002,﻿2호선,﻿5,﻿3,﻿5-﻿3
﻿1006000626,﻿공덕,﻿1006,﻿6호선,﻿1005,﻿5호선,﻿1,﻿1,﻿1-﻿1
﻿1006000626,﻿공덕,﻿1006,﻿6호선,﻿1005,﻿5호선,﻿8,﻿4,﻿8-﻿4
﻿1006000626,﻿공덕,﻿1006,﻿6호선,﻿1065,﻿공항철도,﻿1,﻿1,﻿1-﻿1
﻿1006000626,﻿공덕,﻿1006,﻿6호선,﻿1065,﻿공항철도,﻿8,﻿4,﻿8-﻿4
﻿1006000626,﻿공덕,﻿1006,﻿6호선,﻿1063,﻿경의중앙선,﻿8,﻿4,﻿8-﻿4
﻿1006000626,﻿공덕,﻿1006,﻿6호선,﻿1063,﻿경의중앙선,﻿1,﻿1,﻿1-﻿1
﻿1006000628,﻿삼각지,﻿1006,﻿6호선,﻿1004,﻿4호선,﻿6,﻿4,﻿6-﻿4
﻿1006000628,﻿삼각지,﻿1006,﻿6호선,﻿1004,﻿4호선,﻿3,﻿1,﻿3-﻿1
﻿1006000633,﻿약수,﻿1006,﻿6호선,﻿1003,﻿3호선,﻿1,﻿1,﻿1-﻿1
﻿1006000633,﻿약수,﻿1006,﻿6호선,﻿1003,﻿3호선,﻿8,﻿4,﻿8-﻿4
﻿1006000634,﻿청구,﻿1006,﻿6호선,﻿1005,﻿5호선,﻿6,﻿1,﻿6-﻿1
﻿1006000634,﻿청구,﻿1006,﻿6호선,﻿1005,﻿5호선,﻿6,﻿2,﻿6-﻿2
﻿1006000635,﻿신당,﻿1006,﻿6호선,﻿1002,﻿2호선,﻿8,﻿4,﻿8-﻿4
﻿1006000635,﻿신당,﻿1006,﻿6호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1006000636,﻿동묘앞,﻿1006,﻿6호선,﻿1001,﻿1호선,﻿2,﻿2,﻿2-﻿2
﻿1006000636,﻿동묘앞,﻿1006,﻿6호선,﻿1001,﻿1호선,﻿7,﻿3,﻿7-﻿3
﻿1006000644,﻿석계,﻿1006,﻿6호선,﻿1001,﻿1호선,﻿5,﻿2,﻿5-﻿2
﻿1006000644,﻿석계,﻿1006,﻿6호선,﻿1001,﻿1호선,﻿4,﻿3,﻿4-﻿3
﻿1006000645,﻿태릉입구,﻿1006,﻿6호선,﻿1007,﻿7호선,﻿1,﻿1,﻿1-﻿1
﻿1006000645,﻿태릉입구,﻿1006,﻿6호선,﻿,,﻿1,﻿1,﻿1-﻿1
﻿1006000648,﻿신내,﻿1006,﻿6호선,﻿1067,﻿경춘선,﻿8,﻿4,﻿8-﻿4
﻿1007000710,﻿도봉산,﻿1007,﻿7호선,﻿1001,﻿1호선,﻿8,﻿4,﻿8-﻿4
﻿1007000710,﻿도봉산,﻿1007,﻿7호선,﻿1001,﻿1호선,﻿1,﻿1,﻿1-﻿1
﻿1007000713,﻿노원,﻿1007,﻿7호선,﻿1004,﻿4호선,﻿1,﻿1,﻿1-﻿1
﻿1007000713,﻿노원,﻿1007,﻿7호선,﻿1004,﻿4호선,﻿8,﻿4,﻿8-﻿4
﻿1007000717,﻿태릉입구,﻿1007,﻿7호선,﻿1006,﻿6호선,﻿8,﻿3,﻿8-﻿3
﻿1007000717,﻿태릉입구,﻿1007,﻿7호선,﻿1006,﻿6호선,﻿1,﻿1,﻿1-﻿1
﻿1007000720,﻿상봉,﻿1007,﻿7호선,﻿1063,﻿경의중앙선,﻿3,﻿4,﻿3-﻿4
﻿1007000720,﻿상봉,﻿1007,﻿7호선,﻿1063,﻿경의중앙선,﻿5,﻿4,﻿5-﻿4
﻿1007000720,﻿상봉,﻿1007,﻿7호선,﻿1067,﻿경춘선,﻿3,﻿4,﻿3-﻿4
﻿1063075120,﻿상봉,﻿1063,﻿경의중앙선,﻿1007,﻿7호선,﻿4,﻿2,﻿4-﻿2
﻿1007000727,﻿건대입구,﻿1007,﻿7호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1007000727,﻿건대입구,﻿1007,﻿7호선,﻿1002,﻿2호선,﻿8,﻿4,﻿8-﻿4
﻿1007000730,﻿강남구청,﻿1007,﻿7호선,﻿1075,﻿수인분당선,﻿4,﻿3,﻿4-﻿3
﻿1007000734,﻿고속터미널,﻿1007,﻿7호선,﻿1003,﻿3호선,﻿7,﻿1,﻿7-﻿1
﻿1007000734,﻿고속터미널,﻿1007,﻿7호선,﻿1003,﻿3호선,﻿2,﻿3,﻿2-﻿3
